loopIteration,time (us),GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),attitude[0],attitude[1],attitude[2],vbat (V),GPS_numSat
787,15740000,351981827,333549769,678,5.64,56,87,944,24.58,12
788,15760000,351981824,333549726,635,4.38,-78,58,945,24.55,9
789,15780000,351981831,333549684,590,5.91,24,24,947,24.53,12
790,15800000,351981838,333549641,683,4.18,8,38,948,24.55,9
791,15820000,351981857,333549600,631,6.05,-1,85,949,24.54,11
792,15840000,351981858,333549558,674,5.86,86,73,950,24.49,10
793,15860000,351981846,333549517,676,4.73,-99,97,951,24.53,10
794,15880000,351981842,333549476,710,6.98,24,27,953,24.59,13
795,15900000,351981836,333549435,704,8.27,12,41,954,24.55,9
796,15920000,351981827,333549395,640,7.54,-40,134,955,24.57,12
797,15940000,351981835,333549355,657,4.33,109,32,956,24.52,9
798,15960000,351981832,333549316,613,7.48,-71,118,957,24.49,11
799,15980000,351981815,333549277,733,6.22,6,76,959,24.51,13
800,16000000,351981826,333549238,684,5.9,9,13,960,24.57,10
801,16020000,351981828,333549200,723,5.25,-128,-34,961,24.5,10
802,16040000,351981835,333549162,655,5.95,-81,66,962,24.51,12
803,16060000,351981839,333549124,587,7.61,-53,0,963,24.56,11
804,16080000,351981849,333549087,731,6.61,52,0,965,24.52,13
805,16100000,351981853,333549050,674,5.47,62,-51,966,24.52,10
806,16120000,351981868,333549014,677,5.16,40,93,967,24.54,10
807,16140000,351981876,333548978,674,5.46,19,40,968,24.53,10
808,16160000,351981883,333548942,699,6.66,-128,36,969,24.52,9
809,16180000,351981891,333548907,695,8.18,17,54,971,24.53,13
810,16200000,351981879,333548872,611,4.7,-26,47,972,24.5,9
811,16220000,351981881,333548838,719,5.96,75,39,973,24.52,13
812,16240000,351981882,333548804,655,5.5,86,60,974,24.54,13
813,16260000,351981887,333548770,659,5.06,140,21,975,24.49,12
814,16280000,351981877,333548737,747,6.43,47,-93,977,24.52,13
815,16300000,351981897,333548705,716,6.62,54,71,978,24.49,12
816,16320000,351981901,333548673,666,4.27,-57,56,979,24.54,12
817,16340000,351981892,333548641,606,4.73,9,36,980,24.54,12
818,16360000,351981878,333548610,688,7.38,-70,114,981,24.55,13
819,16380000,351981879,333548579,704,6.34,59,-34,983,24.55,13
820,16400000,351981881,333548549,680,6.58,-67,-108,984,24.55,11
821,16420000,351981878,333548520,634,5.36,-8,109,985,24.54,9
822,16440000,351981882,333548490,653,5.51,-45,55,986,24.49,13
823,16460000,351981879,333548462,635,6.5,-23,-46,987,24.54,10
824,16480000,351981888,333548434,695,5.37,32,14,989,24.49,13
825,16500000,351981884,333548406,720,4.64,-29,65,990,24.58,13
826,16520000,351981887,333548379,729,5.96,18,-25,991,24.52,13
827,16540000,351981900,333548352,660,7.04,-56,62,992,24.53,14
828,16560000,351981929,333548326,699,4.73,89,140,993,24.47,13
829,16580000,351981922,333548300,713,7.22,-34,104,995,24.54,13
830,16600000,351981921,333548275,671,6.79,66,33,996,24.54,14
831,16620000,351981916,333548251,686,4.93,134,51,997,24.46,13
832,16640000,351981927,333548227,778,5.97,-143,-11,998,24.49,14
833,16660000,351981919,333548203,702,5.91,-55,41,999,24.49,10
834,16680000,351981917,333548180,730,6.71,-7,18,1001,24.49,12
835,16700000,351981920,333548158,678,6.75,75,-14,1002,24.55,9
836,16720000,351981914,333548136,698,4.41,-24,-31,1003,24.57,12
837,16740000,351981908,333548115,629,4.36,27,131,1004,24.47,14
838,16760000,351981906,333548094,697,7.18,-39,39,1005,24.53,14
839,16780000,351981888,333548074,747,6.09,38,-15,1007,24.49,10
840,16800000,351981877,333548055,784,6.45,-69,14,1008,24.54,14
841,16820000,351981877,333548036,748,6.36,55,109,1009,24.43,10
842,16840000,351981881,333548017,729,7.78,-177,115,1010,24.49,13
843,16860000,351981883,333548000,704,4.53,-110,4,1011,24.53,12
844,16880000,351981868,333547982,679,7.25,115,44,1013,24.47,11
845,16900000,351981867,333547966,697,4.99,14,79,1014,24.53,12
846,16920000,351981878,333547950,729,6.82,-50,18,1015,24.48,9
847,16940000,351981887,333547934,674,7.55,138,-23,1016,24.53,14
848,16960000,351981890,333547919,744,4.32,68,-13,1017,24.51,12
849,16980000,351981884,333547905,668,6.44,73,35,1019,24.48,10
850,17000000,351981894,333547891,637,5.63,-21,-3,1020,24.47,11
851,17020000,351981892,333547878,668,5.61,42,-29,1021,24.49,10
852,17040000,351981883,333547866,643,6.01,35,23,1022,24.52,9
853,17060000,351981879,333547854,656,4.71,-96,81,1023,24.49,9
854,17080000,351981896,333547843,757,4.82,40,69,1025,24.47,10
855,17100000,351981902,333547832,704,6.74,-6,23,1026,24.59,13
856,17120000,351981917,333547822,722,6.96,82,129,1027,24.44,14
857,17140000,351981915,333547813,760,5.29,84,-3,1028,24.48,12
858,17160000,351981928,333547804,765,4.23,-34,31,1029,24.5,9
859,17180000,351981925,333547796,695,8.71,-32,-32,1031,24.45,13
860,17200000,351981927,333547788,770,7.26,15,73,1032,24.48,10
861,17220000,351981955,333547781,733,6.39,44,28,1033,24.47,10
862,17240000,351981966,333547775,718,4.74,-20,-48,1034,24.44,9
863,17260000,351981965,333547769,737,5.27,-2,-6,1035,24.49,10
864,17280000,351981967,333547764,663,6.25,41,124,1037,24.45,10
865,17300000,351981974,333547760,689,4.82,30,70,1038,24.46,13
866,17320000,351981989,333547756,717,7.86,75,40,1039,24.52,10
867,17340000,351981988,333547753,747,6.12,18,77,1040,24.44,13
868,17360000,351981974,333547750,708,6.42,-50,-44,1041,24.49,9
869,17380000,351981974,333547748,719,4.74,-103,-6,1043,24.51,10
870,17400000,351981978,333547747,764,4.88,53,-30,1044,24.5,12
871,17420000,351981982,333547746,782,5.02,-16,-6,1045,24.49,10
872,17440000,351981999,333547746,757,6.29,-17,15,1046,24.47,9
873,17460000,351982005,333547747,778,5.64,-13,61,1047,24.43,13
874,17480000,351982016,333547748,712,5.62,-92,84,1049,24.48,11
875,17500000,351982009,333547750,717,6.33,-19,83,1050,24.48,13
876,17520000,351982021,333547753,742,6.23,-155,168,1051,24.45,14
877,17540000,351982045,333547756,719,7.72,-20,10,1052,24.44,10
878,17560000,351982056,333547760,711,5.73,-50,33,1053,24.49,13
879,17580000,351982062,333547764,798,4.76,116,60,1055,24.44,10
880,17600000,351982067,333547769,725,5.95,31,-6,1056,24.48,9
881,17620000,351982088,333547775,695,7.69,-9,20,1057,24.45,13
882,17640000,351982082,333547781,754,5.3,14,55,1058,24.41,10
883,17660000,351982084,333547788,809,6.02,48,-9,1059,24.51,13
884,17680000,351982092,333547795,740,5.54,-42,58,1061,24.48,14
885,17700000,351982103,333547804,787,6.44,-10,95,1062,24.48,11
886,17720000,351982102,333547812,721,6.26,-17,-20,1063,24.42,14
887,17740000,351982108,333547822,719,5.0,156,-78,1064,24.46,13
888,17760000,351982109,333547832,712,5.69,8,38,1065,24.47,10
889,17780000,351982114,333547842,735,7.07,-116,-16,1067,24.44,13
890,17800000,351982116,333547854,815,7.25,52,43,1068,24.51,14
891,17820000,351982108,333547866,696,7.05,163,12,1069,24.4,11
892,17840000,351982111,333547878,809,6.98,-54,49,1070,24.48,9
893,17860000,351982123,333547891,704,5.57,217,90,1071,24.4,11
894,17880000,351982116,333547905,735,5.53,0,75,1073,24.41,14
895,17900000,351982117,333547920,779,7.06,65,16,1074,24.41,10
896,17920000,351982127,333547935,772,4.58,-30,-23,1075,24.47,9
897,17940000,351982120,333547950,759,5.89,-12,-88,1076,24.43,11
898,17960000,351982125,333547966,682,3.77,-71,-73,1077,24.43,9
899,17980000,351982118,333547983,763,5.51,-61,-5,1079,24.42,9
900,18000000,351982133,333548001,709,5.13,-128,39,1080,24.4,13
901,18020000,351982159,333548019,853,4.54,74,0,1081,24.42,12
902,18040000,351982183,333548037,743,6.64,-66,4,1082,24.42,13
903,18060000,351982184,333548056,760,5.09,26,-45,1083,24.44,9
904,18080000,351982194,333548076,707,5.53,24,-48,1085,24.43,10
905,18100000,351982199,333548097,735,5.66,-36,-51,1086,24.37,9
906,18120000,351982203,333548118,703,5.09,6,64,1087,24.42,10
907,18140000,351982222,333548139,795,7.64,-2,-64,1088,24.48,14
908,18160000,351982212,333548161,746,5.38,-26,66,1089,24.43,9
909,18180000,351982226,333548184,780,6.19,6,-11,1091,24.44,9
910,18200000,351982229,333548207,731,4.42,6,59,1092,24.42,13
911,18220000,351982246,333548231,739,5.4,-59,44,1093,24.42,10
912,18240000,351982252,333548256,811,5.58,-76,69,1094,24.44,9
913,18260000,351982248,333548281,722,5.6,-48,91,1095,24.4,14
914,18280000,351982254,333548306,689,5.27,11,-6,1097,24.43,10
915,18300000,351982265,333548332,779,6.13,89,-16,1098,24.39,9
916,18320000,351982269,333548359,717,7.8,94,10,1099,24.44,14
917,18340000,351982277,333548386,746,5.8,23,-6,1100,24.39,12
918,18360000,351982275,333548414,801,5.8,62,64,1101,24.45,11
919,18380000,351982257,333548442,733,5.5,11,25,1103,24.46,11
920,18400000,351982269,333548471,802,8.95,71,31,1104,24.38,11
921,18420000,351982280,333548500,740,7.86,11,51,1105,24.45,12
922,18440000,351982285,333548530,828,6.62,27,7,1106,24.42,13
923,18460000,351982289,333548561,822,6.79,-13,85,1107,24.46,12
924,18480000,351982302,333548592,751,5.12,3,-60,1109,24.41,11
925,18500000,351982301,333548623,762,5.78,121,42,1110,24.42,11
926,18520000,351982297,333548655,738,6.21,-70,55,1111,24.42,13
927,18540000,351982299,333548688,780,6.1,3,-7,1112,24.46,14
928,18560000,351982314,333548721,819,4.95,-33,-3,1113,24.37,10
929,18580000,351982303,333548754,716,5.04,62,75,1115,24.45,12
930,18600000,351982319,333548788,811,6.57,115,14,1116,24.42,12
931,18620000,351982316,333548822,723,6.33,-15,-65,1117,24.41,9
932,18640000,351982308,333548857,742,3.48,-168,-36,1118,24.41,12
933,18660000,351982324,333548893,706,6.07,41,80,1119,24.45,12
934,18680000,351982326,333548929,862,7.46,41,-13,1121,24.44,10
935,18700000,351982317,333548965,781,5.2,-100,95,1122,24.47,9
936,18720000,351982316,333549002,790,6.25,-11,98,1123,24.4,13
937,18740000,351982329,333549039,754,4.25,0,20,1124,24.36,10
938,18760000,351982344,333549077,824,6.94,-140,57,1125,24.4,13
939,18780000,351982343,333549115,698,4.65,45,-11,1127,24.41,14
940,18800000,351982351,333549153,784,4.49,30,10,1128,24.4,13
941,18820000,351982361,333549192,872,5.59,18,-4,1129,24.45,9
942,18840000,351982358,333549232,769,8.75,-62,59,1130,24.48,11
943,18860000,351982365,333549272,786,5.24,-40,-33,1131,24.42,11
944,18880000,351982368,333549312,813,4.48,-35,23,1133,24.36,11
945,18900000,351982366,333549353,755,6.51,33,32,1134,24.44,9
946,18920000,351982364,333549394,789,6.23,-57,55,1135,24.39,10
947,18940000,351982368,333549435,827,7.91,94,-75,1136,24.41,14
948,18960000,351982372,333549477,798,4.47,26,-59,1137,24.43,13
949,18980000,351982370,333549519,805,4.09,-132,-13,1139,24.42,9
950,19000000,351982369,333549562,777,5.59,107,18,1140,24.4,13
951,19020000,351982383,333549605,805,6.41,13,36,1141,24.41,12
952,19040000,351982389,333549648,795,6.38,-31,39,1142,24.43,9
953,19060000,351982401,333549692,852,7.24,9,129,1143,24.42,11
954,19080000,351982416,333549736,824,4.21,-110,62,1145,24.46,10
955,19100000,351982425,333549780,786,4.99,14,58,1146,24.31,14
956,19120000,351982451,333549825,699,5.81,-149,5,1147,24.38,11
957,19140000,351982447,333549870,826,6.95,-60,68,1148,24.38,9
958,19160000,351982458,333549916,828,6.52,87,63,1149,24.42,14
959,19180000,351982458,333549961,762,5.47,81,62,1151,24.4,9
960,19200000,351982480,333550007,720,4.76,-18,23,1152,24.42,13
961,19220000,351982500,333550054,755,7.0,-57,60,1153,24.35,13
962,19240000,351982484,333550100,838,7.08,61,105,1154,24.39,14
963,19260000,351982478,333550147,760,9.16,0,-10,1155,24.41,10
964,19280000,351982488,333550194,785,5.75,16,-77,1157,24.39,10
965,19300000,351982499,333550242,813,7.87,41,70,1158,24.38,11
966,19320000,351982510,333550289,854,4.54,-64,65,1159,24.4,12
967,19340000,351982512,333550337,805,5.32,52,17,1160,24.44,14
968,19360000,351982520,333550386,802,5.17,-129,7,1161,24.33,14
969,19380000,351982530,333550434,785,5.42,94,166,1163,24.44,10
970,19400000,351982533,333550483,873,4.93,-95,6,1164,24.4,14
971,19420000,351982546,333550532,852,5.33,-36,-31,1165,24.36,10
972,19440000,351982527,333550581,806,5.9,-38,5,1166,24.41,10
973,19460000,351982537,333550630,755,5.44,48,54,1167,24.39,13
974,19480000,351982530,333550680,780,6.74,49,-1,1169,24.42,14
975,19500000,351982543,333550730,835,5.87,25,9,1170,24.36,13
976,19520000,351982544,333550780,784,5.96,36,44,1171,24.41,14
977,19540000,351982538,333550830,850,7.7,31,7,1172,24.36,14
978,19560000,351982545,333550880,829,6.33,-1,35,1173,24.39,14
979,19580000,351982539,333550931,827,6.15,-116,27,1175,24.4,13
980,19600000,351982534,333550981,843,5.94,-141,-23,1176,24.38,12
981,19620000,351982521,333551032,837,6.04,-141,32,1177,24.4,12
982,19640000,351982524,333551083,784,6.64,0,-28,1178,24.36,10
983,19660000,351982533,333551134,806,5.02,-11,75,1179,24.41,10
984,19680000,351982546,333551185,913,7.31,-6,-17,1181,24.36,11
985,19700000,351982548,333551237,772,7.81,16,17,1182,24.35,13
986,19720000,351982562,333551288,802,7.32,-12,-61,1183,24.37,13
987,19740000,351982565,333551340,865,5.39,-60,6,1184,24.37,12
988,19760000,351982568,333551392,817,4.09,-91,-32,1185,24.35,12
989,19780000,351982577,333551443,791,5.45,-116,103,1187,24.4,11
990,19800000,351982591,333551495,772,6.15,78,23,1188,24.37,10
991,19820000,351982591,333551547,847,6.94,59,54,1189,24.39,12
992,19840000,351982592,333551599,867,5.75,-82,-57,1190,24.33,13
993,19860000,351982593,333551651,883,5.61,-14,-32,1191,24.33,9
994,19880000,351982598,333551703,830,7.75,29,20,1193,24.36,12
995,19900000,351982592,333551756,871,5.18,102,-38,1194,24.34,14
996,19920000,351982605,333551808,788,7.22,-35,85,1195,24.36,9
997,19940000,351982605,333551860,837,7.03,13,8,1196,24.38,11
998,19960000,351982613,333551912,804,4.4,74,36,1197,24.4,11
999,19980000,351982608,333551965,839,6.29,-106,43,1199,24.41,14
1000,20000000,351982615,333552017,863,5.31,-43,21,1200,24.39,14
1001,20020000,351982622,333552069,877,4.85,0,67,1201,24.34,13
1002,20040000,351982621,333552121,795,3.79,-43,-4,1202,24.38,14
1003,20060000,351982645,333552174,886,4.12,134,47,1204,24.34,12
1004,20080000,351982652,333552226,817,6.45,56,88,1205,24.38,9
1005,20100000,351982673,333552278,796,5.51,14,39,1206,24.33,10
1006,20120000,351982686,333552330,831,6.29,-58,35,1207,24.4,14
1007,20140000,351982682,333552382,780,4.72,56,12,1208,24.37,13
1008,20160000,351982682,333552434,840,5.59,41,31,1210,24.35,14
1009,20180000,351982690,333552486,852,5.65,-30,62,1211,24.31,11
1010,20200000,351982694,333552538,833,4.15,-25,16,1212,24.36,13
1011,20220000,351982697,333552590,864,4.01,-89,-54,1213,24.34,14
1012,20240000,351982698,333552642,831,6.48,-2,36,1214,24.36,10
1013,20260000,351982683,333552693,844,6.14,56,21,1216,24.33,11
1014,20280000,351982684,333552745,787,4.87,64,51,1217,24.34,9
1015,20300000,351982665,333552796,847,5.85,38,30,1218,24.37,14
1016,20320000,351982672,333552848,812,6.74,53,106,1219,24.39,11
1017,20340000,351982669,333552899,829,8.12,-35,-30,1220,24.31,9
1018,20360000,351982665,333552950,844,4.92,-27,-19,1222,24.34,12
1019,20380000,351982666,333553001,857,6.69,77,60,1223,24.36,13
1020,20400000,351982672,333553051,784,8.46,30,-22,1224,24.34,10
1021,20420000,351982661,333553102,788,6.04,-48,44,1225,24.33,12
1022,20440000,351982647,333553152,839,7.69,33,27,1226,24.41,14
1023,20460000,351982639,333553203,871,2.92,53,-68,1228,24.32,12
1024,20480000,351982622,333553253,868,7.67,46,61,1229,24.35,12
1025,20500000,351982616,333553303,890,5.95,8,96,1230,24.33,12
1026,20520000,351982635,333553352,907,3.76,-30,38,1231,24.34,9
1027,20540000,351982628,333553402,875,6.88,26,-40,1232,24.27,14
1028,20560000,351982638,333553451,856,7.2,107,67,1234,24.37,12
1029,20580000,351982627,333553500,816,7.39,10,-22,1235,24.33,12
1030,20600000,351982634,333553549,820,7.38,-40,22,1236,24.31,10
1031,20620000,351982634,333553597,840,5.93,22,48,1237,24.39,14
1032,20640000,351982637,333553646,870,5.09,-75,-9,1238,24.33,9
1033,20660000,351982646,333553694,869,5.42,15,-54,1240,24.32,13
1034,20680000,351982667,333553741,862,5.92,-17,21,1241,24.31,12
1035,20700000,351982672,333553789,856,6.44,61,26,1242,24.37,11
1036,20720000,351982676,333553836,888,5.4,8,-13,1243,24.33,13
1037,20740000,351982670,333553883,872,6.02,67,-9,1244,24.32,14
1038,20760000,351982679,333553930,877,7.0,145,64,1246,24.29,12
1039,20780000,351982680,333553976,878,6.35,-12,24,1247,24.3,13
1040,20800000,351982692,333554022,845,8.66,-50,5,1248,24.34,12
1041,20820000,351982695,333554068,826,8.5,30,0,1249,24.33,13
1042,20840000,351982715,333554114,888,4.61,-3,36,1250,24.27,12
1043,20860000,351982699,333554159,886,5.3,10,33,1252,24.3,14
1044,20880000,351982699,333554204,861,4.42,-36,19,1253,24.33,10
1045,20900000,351982711,333554248,854,4.59,36,-39,1254,24.41,10
1046,20920000,351982711,333554292,963,6.61,5,10,1255,24.3,9
1047,20940000,351982707,333554336,842,4.8,-133,-2,1256,24.26,10
1048,20960000,351982707,333554380,864,4.73,-13,31,1258,24.35,12
1049,20980000,351982697,333554423,885,5.65,22,84,1259,24.31,12
1050,21000000,351982701,333554466,829,6.91,75,74,1260,24.28,9
1051,21020000,351982729,333554508,880,5.55,-34,59,1261,24.34,11
1052,21040000,351982744,333554550,948,5.54,-48,33,1262,24.31,13
1053,21060000,351982736,333554591,915,7.05,73,12,1264,24.29,9
1054,21080000,351982731,333554633,903,6.52,-36,44,1265,24.28,13
1055,21100000,351982730,333554673,903,6.5,7,5,1266,24.31,10
1056,21120000,351982743,333554714,884,7.08,30,11,1267,24.32,12
1057,21140000,351982739,333554754,919,4.77,47,-12,1268,24.26,9
1058,21160000,351982735,333554793,875,6.22,1,25,1270,24.34,12
1059,21180000,351982747,333554833,865,5.22,-68,24,1271,24.28,13
1060,21200000,351982759,333554871,887,7.17,64,118,1272,24.36,9
1061,21220000,351982759,333554910,920,6.93,-25,55,1273,24.32,9
1062,21240000,351982751,333554947,898,4.73,-31,9,1274,24.31,13
1063,21260000,351982739,333554985,913,7.54,126,66,1276,24.32,9
1064,21280000,351982735,333555022,805,4.59,56,5,1277,24.29,13
1065,21300000,351982716,333555058,935,7.34,-64,77,1278,24.31,12
1066,21320000,351982727,333555094,982,6.21,-28,66,1279,24.36,9
1067,21340000,351982724,333555130,942,4.94,-14,169,1280,24.29,10
1068,21360000,351982732,333555165,877,4.65,-45,-24,1282,24.33,14
1069,21380000,351982754,333555200,857,5.61,-118,24,1283,24.28,9
1070,21400000,351982769,333555234,903,5.94,51,22,1284,24.3,9
1071,21420000,351982761,333555267,853,5.13,49,42,1285,24.33,12
1072,21440000,351982773,333555300,922,6.63,16,62,1286,24.27,14
1073,21460000,351982788,333555333,873,4.31,-23,-19,1288,24.31,11
1074,21480000,351982784,333555365,933,5.96,14,-6,1289,24.24,14
1075,21500000,351982778,333555397,950,5.97,41,42,1290,24.27,11
1076,21520000,351982780,333555428,815,3.76,-63,75,1291,24.29,13
1077,21540000,351982767,333555459,909,6.33,-19,-26,1292,24.33,12
1078,21560000,351982785,333555489,870,4.47,-33,-46,1294,24.32,13
1079,21580000,351982765,333555518,843,3.02,44,83,1295,24.27,9
1080,21600000,351982757,333555547,875,5.24,17,69,1296,24.29,12
1081,21620000,351982757,333555576,892,5.69,-79,80,1297,24.3,11
1082,21640000,351982758,333555604,943,7.03,-37,-18,1298,24.25,14
1083,21660000,351982763,333555631,841,5.39,111,18,1300,24.31,14
1084,21680000,351982770,333555658,945,7.7,-59,39,1301,24.33,10
1085,21700000,351982771,333555684,985,7.66,10,49,1302,24.33,11
1086,21720000,351982785,333555710,929,7.26,-38,22,1303,24.27,14
1087,21740000,351982767,333555735,927,7.53,78,25,1304,24.28,13
1088,21760000,351982771,333555760,906,6.38,-2,77,1306,24.26,9
1089,21780000,351982767,333555784,860,5.31,-26,7,1307,24.27,11
1090,21800000,351982772,333555807,930,6.73,-72,1,1308,24.28,14
1091,21820000,351982777,333555830,924,7.11,-14,7,1309,24.31,10
1092,21840000,351982771,333555853,939,6.25,52,3,1310,24.29,12
1093,21860000,351982768,333555874,1013,5.67,42,34,1312,24.26,11
1094,21880000,351982780,333555895,941,4.11,-81,18,1313,24.31,9
1095,21900000,351982786,333555916,929,6.76,98,7,1314,24.31,9
1096,21920000,351982783,333555936,976,6.38,-14,96,1315,24.27,12
1097,21940000,351982807,333555955,860,4.42,-64,42,1316,24.28,10
1098,21960000,351982833,333555974,869,6.08,8,12,1318,24.28,14
1099,21980000,351982822,333555992,901,6.82,-37,89,1319,24.23,10
1100,22000000,351982828,333556010,890,5.83,-35,1,1320,24.28,9
1101,22020000,351982857,333556027,945,6.89,-38,28,1321,24.3,13
1102,22040000,351982868,333556044,905,6.86,-4,23,1322,24.34,12
1103,22060000,351982873,333556059,989,4.22,-30,0,1324,24.28,14
1104,22080000,351982874,333556075,981,5.61,-105,9,1325,24.27,12
1105,22100000,351982872,333556089,951,6.54,33,32,1326,24.27,13
1106,22120000,351982874,333556103,906,7.05,-31,-40,1327,24.29,11
1107,22140000,351982871,333556116,947,7.63,75,9,1328,24.3,11
1108,22160000,351982882,333556129,956,3.69,34,40,1330,24.25,12
1109,22180000,351982882,333556141,881,5.89,39,41,1331,24.28,9
1110,22200000,351982881,333556153,939,6.81,12,42,1332,24.29,12
1111,22220000,351982872,333556164,954,7.41,81,140,1333,24.21,13
1112,22240000,351982875,333556174,935,7.96,-19,60,1334,24.31,9
1113,22260000,351982869,333556184,990,4.86,-60,21,1336,24.26,12
1114,22280000,351982871,333556193,977,5.52,22,22,1337,24.29,9
1115,22300000,351982884,333556201,896,4.72,-168,28,1338,24.27,13
1116,22320000,351982891,333556209,935,6.93,-22,49,1339,24.26,13
1117,22340000,351982900,333556216,897,4.4,14,14,1340,24.26,11
1118,22360000,351982907,333556222,955,7.37,-25,100,1342,24.27,13
1119,22380000,351982911,333556228,898,7.07,78,-24,1343,24.29,9
1120,22400000,351982913,333556233,970,6.54,44,58,1344,24.26,12
1121,22420000,351982913,333556238,950,3.39,7,52,1345,24.23,12
1122,22440000,351982924,333556242,974,5.16,-24,-26,1346,24.24,9
1123,22460000,351982916,333556245,930,6.85,68,58,1348,24.23,9
1124,22480000,351982933,333556248,878,4.28,-41,54,1349,24.28,9
1125,22500000,351982937,333556250,1008,5.68,-25,-2,1350,24.23,14
1126,22520000,351982933,333556252,931,5.84,46,138,1351,24.3,11
1127,22540000,351982931,333556252,994,7.02,37,62,1352,24.26,9
1128,22560000,351982928,333556253,957,6.3,126,12,1354,24.25,10
1129,22580000,351982932,333556252,968,6.29,-12,5,1355,24.3,11
1130,22600000,351982929,333556251,1015,5.44,-116,-7,1356,24.24,14
1131,22620000,351982943,333556249,956,5.97,41,40,1357,24.25,9
1132,22640000,351982939,333556247,999,5.8,78,31,1358,24.28,13
1133,22660000,351982920,333556244,885,6.83,-9,-39,1360,24.27,12
1134,22680000,351982916,333556241,980,5.75,97,-21,1361,24.22,12
1135,22700000,351982899,333556236,936,7.19,110,-5,1362,24.32,9
1136,22720000,351982902,333556231,941,3.95,-40,9,1363,24.27,13
1137,22740000,351982916,333556226,948,7.39,-29,10,1364,24.21,14
1138,22760000,351982925,333556220,962,5.76,-77,-3,1366,24.24,13
1139,22780000,351982915,333556213,1015,7.3,34,58,1367,24.28,12
1140,22800000,351982911,333556206,876,6.06,44,73,1368,24.25,9
1141,22820000,351982932,333556198,952,6.98,37,31,1369,24.27,14
1142,22840000,351982939,333556189,923,7.73,-76,-76,1370,24.32,13
1143,22860000,351982942,333556180,999,5.31,-46,20,1372,24.27,11
1144,22880000,351982956,333556170,936,6.06,-88,54,1373,24.3,10
1145,22900000,351982984,333556160,972,5.76,-99,24,1374,24.26,11
1146,22920000,351983000,333556149,939,6.21,-83,41,1375,24.22,9
1147,22940000,351983005,333556137,982,4.04,-97,33,1376,24.29,11
1148,22960000,351983012,333556125,997,5.76,-10,-42,1378,24.22,10
1149,22980000,351983021,333556112,941,5.67,26,-92,1379,24.27,9
1150,23000000,351983019,333556098,960,5.03,38,57,1380,24.26,9
1151,23020000,351983011,333556084,902,5.73,-1,3,1381,24.21,13
1152,23040000,351983015,333556070,972,4.13,-41,47,1382,24.22,13
1153,23060000,351983009,333556055,995,7.62,0,13,1384,24.23,12
1154,23080000,351983012,333556039,939,6.49,35,20,1385,24.25,9
1155,23100000,351983016,333556022,1007,8.2,-18,93,1386,24.28,12
1156,23120000,351983043,333556005,880,4.92,3,-28,1387,24.24,14
1157,23140000,351983038,333555988,890,4.58,-18,27,1388,24.29,10
1158,23160000,351983040,333555969,909,6.3,-32,-23,1390,24.26,9
1159,23180000,351983041,333555951,946,3.98,2,31,1391,24.21,9
1160,23200000,351983049,333555931,967,6.23,-68,50,1392,24.21,13
1161,23220000,351983063,333555911,964,5.13,65,59,1393,24.23,12
1162,23240000,351983061,333555891,965,5.56,-96,35,1394,24.21,12
1163,23260000,351983056,333555870,998,6.26,28,-37,1396,24.23,14
1164,23280000,351983043,333555848,951,6.01,-84,39,1397,24.25,10
1165,23300000,351983037,333555826,920,8.17,93,70,1398,24.24,11
1166,23320000,351983046,333555803,922,6.71,53,75,1399,24.26,11
1167,23340000,351983050,333555780,1057,4.43,-50,129,1400,24.21,11
1168,23360000,351983043,333555756,879,7.12,-27,54,1402,24.2,12
1169,23380000,351983043,333555732,967,4.37,-69,-20,1403,24.18,10
1170,23400000,351983046,333555707,1033,6.06,-3,3,1404,24.17,10
1171,23420000,351983055,333555682,995,4.48,25,32,1405,24.21,10
1172,23440000,351983052,333555656,943,4.98,157,77,1406,24.22,11
1173,23460000,351983053,333555629,977,7.52,-84,-26,1408,24.21,13
1174,23480000,351983038,333555602,1013,5.3,76,71,1409,24.22,9
1175,23500000,351983030,333555575,1027,5.19,-35,59,1410,24.28,12
1176,23520000,351983049,333555547,944,5.29,17,-13,1411,24.19,9
1177,23540000,351983031,333555518,1011,5.59,54,56,1412,24.21,14
1178,23560000,351983031,333555489,992,7.67,33,-8,1414,24.2,12
1179,23580000,351983036,333555460,1027,4.56,26,27,1415,24.19,12
1180,23600000,351983036,333555430,1039,4.49,-12,13,1416,24.26,10
1181,23620000,351983031,333555399,970,6.64,0,39,1417,24.21,10
1182,23640000,351983034,333555368,927,4.06,9,-27,1418,24.25,14
1183,23660000,351983037,333555337,1001,5.52,74,53,1420,24.18,10
1184,23680000,351983040,333555305,1058,7.3,-90,-74,1421,24.27,12
1185,23700000,351983024,333555273,1015,5.96,-30,8,1422,24.28,13
1186,23720000,351983026,333555240,997,5.38,-76,1,1423,24.18,9
1187,23740000,351983021,333555206,1085,5.11,-59,102,1424,24.21,11
1188,23760000,351983019,333555173,948,4.87,-49,53,1426,24.2,9
1189,23780000,351983024,333555139,1027,5.25,67,4,1427,24.22,13
1190,23800000,351983034,333555104,969,6.11,132,-14,1428,24.17,14
1191,23820000,351983046,333555069,994,7.43,83,29,1429,24.22,12
1192,23840000,351983045,333555033,997,7.1,-73,-1,1430,24.23,12
1193,23860000,351983057,333554998,1055,5.28,4,134,1432,24.19,13
