time_ms,lat,lon,alt_m,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,vbat_v,sat_count
62400,36.85047909929333,34.75168389496809,30.61,8.62,-1.45,-8.6,0.0,23.44,17
62600,36.850494071146244,34.75168389496809,30.15,8.75,-0.91,-10.43,0.0,23.4,11
62800,36.850509042999164,34.75168389496809,30.29,8.41,-3.44,-7.33,0.0,23.48,14
63000,36.85052401485208,34.75168389496809,29.9,8.48,-1.57,-7.9,0.0,23.38,14
63200,36.850538986705,34.75168389496809,30.02,5.51,-1.82,-7.04,315.9,23.41,14
63400,36.850538986705,34.751665788570584,29.76,8.04,1.93,-6.98,270.0,23.44,11
63600,36.850538986705,34.75164768217308,30.35,8.3,2.02,-6.79,270.0,23.42,14
63800,36.850538986705,34.751629575775574,29.59,8.28,-0.36,-8.75,270.0,23.46,13
64000,36.850538986705,34.75161146937806,30.27,8.12,-0.98,-3.76,270.0,23.45,15
64200,36.850538986705,34.75159336298056,29.93,8.29,0.35,-7.53,270.0,23.47,12
64400,36.850538986705,34.75157525658305,30.41,8.19,-2.04,-11.72,270.0,23.46,14
64600,36.850538986705,34.75155715018555,30.26,8.36,-2.87,-10.0,270.0,23.47,15
64800,36.850538986705,34.75153904378804,30.64,8.14,-2.35,-11.48,270.0,23.42,11
65000,36.850538986705,34.75152093739053,30.26,7.98,-1.59,-7.97,270.0,23.43,16
65200,36.850538986705,34.751502830993026,29.45,8.15,-2.91,-8.24,270.0,23.43,16
65400,36.850538986705,34.75148472459552,29.98,7.33,0.41,-8.94,270.0,23.41,11
65600,36.850538986705,34.751466618198016,29.59,8.16,1.82,-3.98,270.0,23.38,11
65800,36.850538986705,34.75144851180051,29.82,7.15,-3.97,-6.9,270.0,23.38,16
66000,36.850538986705,34.751430405403,30.53,7.63,0.06,-6.55,270.0,23.35,12
66200,36.850538986705,34.751412299005494,30.22,8.18,-0.55,-9.86,270.0,23.4,17
66400,36.850538986705,34.75139419260799,29.76,8.18,0.85,-10.0,270.0,23.37,14
66600,36.850538986705,34.751376086210485,29.65,7.77,-0.03,-7.93,270.0,23.34,13
66800,36.850538986705,34.75135797981298,30.01,7.89,-3.63,-7.65,270.0,23.34,12
67000,36.850538986705,34.75133987341547,29.57,8.41,-3.16,-11.71,270.0,23.31,15
67200,36.850538986705,34.75132176701796,29.77,7.94,0.07,-8.36,270.0,23.39,11
67400,36.850538986705,34.75130366062046,30.11,8.63,2.57,-7.97,270.0,23.35,13
67600,36.850538986705,34.75128555422295,30.4,8.06,-5.54,-8.43,270.0,23.31,13
67800,36.850538986705,34.75126744782544,30.21,8.17,0.86,-9.63,270.0,23.37,12
68000,36.850538986705,34.751249341427936,29.2,8.47,2.97,-9.08,270.0,23.31,13
68200,36.850538986705,34.75123123503043,30.11,8.1,-0.38,-8.35,270.0,23.27,14
68400,36.850538986705,34.751213128632926,30.03,7.81,1.38,-7.82,270.0,23.36,15
68600,36.850538986705,34.75119502223542,30.14,8.04,-1.76,-6.79,270.0,23.29,11
68800,36.850538986705,34.75117691583791,30.57,8.06,-0.3,-5.84,270.0,23.29,17
69000,36.850538986705,34.751158809440405,29.28,7.72,-4.05,-8.59,270.0,23.31,17
69200,36.850538986705,34.7511407030429,29.79,8.0,-5.86,-8.91,270.0,23.35,15
69400,36.850538986705,34.751122596645395,30.21,7.88,2.36,-7.12,270.0,23.29,17
69600,36.850538986705,34.75110449024789,29.45,8.3,-2.46,-6.78,270.0,23.24,13
69800,36.850538986705,34.75108638385038,30.52,8.07,-1.14,-8.87,270.0,23.3,16
70000,36.850538986705,34.75106827745287,30.13,7.99,-3.47,-6.42,270.0,23.26,16
70200,36.850538986705,34.75105017105537,30.3,8.04,-3.52,-6.04,270.0,23.35,14
70400,36.850538986705,34.75103206465786,29.8,8.12,-0.43,-5.42,270.0,23.27,12
70600,36.850538986705,34.75101395826036,30.28,8.22,-1.82,-4.44,270.0,23.17,14
70800,36.850538986705,34.75099585186285,30.37,7.81,0.94,-9.73,270.0,23.27,17
71000,36.850538986705,34.75097774546534,30.08,7.8,1.13,-7.97,270.0,23.33,17
71200,36.850538986705,34.75095963906784,30.08,8.34,0.8,-7.98,270.0,23.31,14
71400,36.850538986705,34.75094153267033,30.09,7.96,0.6,-8.2,270.0,23.31,12
71600,36.850538986705,34.75092342627283,29.7,7.71,3.94,-9.3,270.0,23.19,16
71800,36.850538986705,34.750905319875315,29.95,8.18,-2.67,-10.97,270.0,23.26,11
72000,36.850538986705,34.75088721347781,29.95,8.18,-0.14,-7.81,270.0,23.19,12
72200,36.850538986705,34.750869107080305,30.13,7.68,2.83,-9.54,270.0,23.23,14
72400,36.850538986705,34.7508510006828,30.35,8.12,3.16,-7.83,270.0,23.16,17
72600,36.850538986705,34.750832894285296,29.63,8.25,-3.55,-9.59,270.0,23.18,13
72800,36.850538986705,34.75081478788778,29.96,8.16,-0.78,-10.2,270.0,23.17,14
73000,36.850538986705,34.75079668149028,30.52,8.22,3.4,-7.53,270.0,23.23,13
73200,36.850538986705,34.750778575092774,29.74,7.71,1.27,-7.7,270.0,23.22,14
73400,36.850538986705,34.75076046869527,29.71,8.15,0.49,-6.84,270.0,23.2,11
73600,36.850538986705,34.75074236229776,30.07,7.99,-0.54,-3.63,270.0,23.12,15
73800,36.850538986705,34.75072425590025,30.3,7.94,-0.96,-7.45,270.0,23.16,15
74000,36.850538986705,34.75070614950275,30.0,8.28,0.72,-7.03,270.0,23.14,13
74200,36.850538986705,34.75068804310524,30.47,8.43,-0.63,-10.16,270.0,23.2,12
74400,36.850538986705,34.75066993670774,30.3,8.51,-0.11,-10.57,270.0,23.2,16
74600,36.850538986705,34.750651830310225,30.29,8.39,0.2,-4.83,270.0,23.19,12
74800,36.850538986705,34.75063372391272,30.19,8.04,-1.7,-9.85,270.0,23.12,11
75000,36.850538986705,34.750615617515216,30.81,8.15,1.33,-10.09,270.0,23.03,11
75200,36.850538986705,34.75059751111771,29.93,8.26,7.29,-8.08,270.0,23.06,17
75400,36.850538986705,34.750579404720206,29.3,8.09,-4.44,-8.18,270.0,23.19,13
75600,36.850538986705,34.750561298322694,30.56,8.1,0.81,-9.81,270.0,23.11,11
75800,36.850538986705,34.75054319192519,29.84,8.27,-1.9,-8.61,270.0,23.09,17
76000,36.850538986705,34.750525085527684,30.04,8.05,1.44,-5.54,270.0,23.18,12
76200,36.850538986705,34.75050697913018,30.46,7.88,0.12,-9.61,270.0,23.16,13
76400,36.850538986705,34.750488872732674,29.44,7.96,1.9,-10.79,270.0,23.1,11
76600,36.850538986705,34.75047076633516,29.56,8.22,2.94,-6.11,270.0,23.08,15
76800,36.850538986705,34.75045265993766,29.44,8.07,0.48,-7.02,270.0,23.09,15
77000,36.850538986705,34.75043455354015,29.72,8.15,2.83,-9.24,270.0,23.09,16
77200,36.850538986705,34.75041644714265,30.15,8.23,-5.86,-11.16,270.0,23.14,12
77400,36.850538986705,34.75039834074514,30.18,7.97,3.98,-9.49,270.0,23.09,13
77600,36.850538986705,34.75038023434763,30.1,8.25,0.94,-8.11,270.0,23.1,17
77800,36.850538986705,34.750362127950126,29.51,8.16,2.69,-5.67,270.0,23.11,16
78000,36.850538986705,34.75034402155262,29.19,7.76,-3.05,-10.07,270.0,23.01,11
78200,36.850538986705,34.750325915155116,30.02,8.43,-2.08,-8.17,270.0,23.08,15
78400,36.850538986705,34.75030780875761,29.83,7.94,0.36,-6.65,270.0,23.04,16
78600,36.850538986705,34.7502897023601,30.16,7.65,-0.04,-12.76,270.0,22.94,14
78800,36.850538986705,34.750271595962595,30.25,7.8,0.71,-5.93,270.0,22.95,15
79000,36.850538986705,34.75025348956509,30.05,7.81,2.71,-10.36,270.0,22.99,11
79200,36.850538986705,34.750235383167585,30.27,8.08,-4.41,-7.34,270.0,23.05,11
79400,36.850538986705,34.75021727677007,30.08,8.0,2.43,-7.51,270.0,23.02,11
79600,36.850538986705,34.75019917037257,30.19,7.98,0.02,-5.83,270.0,23.02,12
79800,36.850538986705,34.75018106397506,29.75,8.22,-0.51,-6.9,270.0,23.09,17
80000,36.850538986705,34.75016295757756,29.94,8.15,-3.68,-12.75,270.0,22.95,15
80200,36.850538986705,34.75014485118005,30.07,8.14,1.26,-9.57,270.0,23.0,16
80400,36.850538986705,34.75012674478254,30.29,8.17,-6.04,-7.72,270.0,23.0,13
80600,36.850538986705,34.750108638385036,29.86,8.22,1.62,-8.39,270.0,22.96,17
80800,36.850538986705,34.75009053198753,30.18,7.54,-3.73,-7.04,270.0,22.98,12
81000,36.850538986705,34.75007242559003,29.91,7.97,0.13,-6.42,270.0,22.91,17
81200,36.850538986705,34.75005431919252,29.96,7.52,-0.3,-6.78,270.0,23.03,11
81400,36.850538986705,34.75003621279501,30.29,8.07,2.92,-8.43,270.0,22.94,11
81600,36.850538986705,34.750018106397505,29.3,8.06,-0.45,-11.69,270.0,23.04,11
81800,36.850538986705,34.75,29.55,6.06,-1.74,-8.91,315.9,22.95,16
82000,36.85055395855791,34.75,29.48,8.63,-1.27,-7.17,0.0,22.99,12
82200,36.85056893041083,34.75,29.18,8.38,3.18,-10.18,0.0,22.94,14
82400,36.85058390226374,34.75,29.76,8.21,1.34,-6.74,0.0,22.94,14
82600,36.85059887411666,34.75,30.26,8.45,-0.96,-6.18,0.0,22.91,16
82800,36.850613845969576,34.75,29.9,8.2,-0.59,-7.75,0.0,22.93,13
83000,36.850628817822496,34.75,30.07,8.33,-3.92,-14.13,0.0,22.93,11
83200,36.85064378967541,34.75,30.38,8.58,0.97,-10.56,0.0,22.88,13
83400,36.85065876152833,34.75,30.46,8.19,-4.4,-4.23,0.0,22.9,13
83600,36.85067373338124,34.75,29.98,8.53,1.88,-9.09,0.0,22.88,16
83800,36.85068870523416,34.75,30.47,8.5,0.32,-11.97,0.0,22.99,16
84000,36.850703677087076,34.75,30.03,8.09,5.97,-5.53,0.0,22.89,11
84200,36.850718648939996,34.75,29.71,6.04,-2.75,-7.97,44.1,22.95,16
84400,36.850718648939996,34.750018106397505,29.79,8.24,-0.26,-5.79,90.0,22.87,11
84600,36.850718648939996,34.75003621279501,29.48,8.09,4.5,-7.45,90.0,22.89,15
84800,36.850718648939996,34.75005431919252,29.69,7.87,2.98,-7.08,90.0,22.82,13
85000,36.850718648939996,34.75007242559003,29.87,7.85,-1.74,-7.27,90.0,22.85,13
85200,36.850718648939996,34.75009053198753,30.28,7.93,0.56,-6.61,90.0,22.87,14
85400,36.850718648939996,34.750108638385036,30.6,8.2,0.0,-3.45,90.0,22.92,13
85600,36.850718648939996,34.75012674478254,29.52,7.83,0.7,-6.06,90.0,22.86,16
85800,36.850718648939996,34.75014485118005,30.14,8.17,-1.75,-11.16,90.0,22.9,17
86000,36.850718648939996,34.75016295757756,29.64,7.75,-0.22,-7.11,90.0,22.86,16
86200,36.850718648939996,34.75018106397506,30.17,8.01,-4.0,-5.72,90.0,22.9,14
86400,36.850718648939996,34.75019917037257,29.95,8.09,0.34,-5.59,90.0,22.82,14
86600,36.850718648939996,34.75021727677007,29.36,8.68,1.13,-8.85,90.0,22.92,14
86800,36.850718648939996,34.750235383167585,30.32,7.72,-0.57,-5.67,90.0,22.8,16
87000,36.850718648939996,34.75025348956509,29.79,8.43,-4.04,-6.14,90.0,22.78,14
87200,36.850718648939996,34.750271595962595,29.81,8.1,2.47,-2.85,90.0,22.76,14
87400,36.850718648939996,34.7502897023601,29.63,8.17,0.91,-9.5,90.0,22.89,13
87600,36.850718648939996,34.75030780875761,29.77,8.09,-1.82,-9.01,90.0,22.83,13
87800,36.850718648939996,34.750325915155116,30.15,8.18,-0.7,-8.61,90.0,22.78,14
88000,36.850718648939996,34.75034402155262,29.93,8.03,-3.75,-8.98,90.0,22.83,15
88200,36.850718648939996,34.750362127950126,30.12,8.43,-2.56,-9.78,90.0,22.81,14
88400,36.850718648939996,34.75038023434763,30.13,7.95,-1.34,-13.53,90.0,22.85,16
88600,36.850718648939996,34.75039834074514,30.46,8.35,3.07,-8.87,90.0,22.7,16
88800,36.850718648939996,34.75041644714265,29.88,7.9,-1.6,-7.26,90.0,22.75,14
89000,36.850718648939996,34.75043455354015,29.48,8.05,1.6,-8.99,90.0,22.74,17
89200,36.850718648939996,34.75045265993766,30.37,7.8,-1.35,-4.13,90.0,22.67,12
89400,36.850718648939996,34.75047076633516,29.88,8.18,0.62,-7.97,90.0,22.79,17
89600,36.850718648939996,34.750488872732674,30.39,8.43,-0.35,-5.42,90.0,22.73,13
89800,36.850718648939996,34.75050697913018,30.13,8.05,2.18,-7.48,90.0,22.76,14
90000,36.850718648939996,34.750525085527684,29.95,8.02,-1.34,-6.35,90.0,22.82,12
90200,36.850718648939996,34.75054319192519,30.12,7.79,-3.93,-7.44,90.0,22.71,14
90400,36.850718648939996,34.750561298322694,30.68,8.01,-3.45,-5.26,90.0,22.7,13
90600,36.850718648939996,34.750579404720206,30.73,7.67,-1.33,-7.89,90.0,22.72,15
90800,36.850718648939996,34.75059751111771,30.02,7.84,-3.12,-7.01,90.0,22.75,11
91000,36.850718648939996,34.750615617515216,30.06,8.12,1.03,-7.27,90.0,22.68,16
91200,36.850718648939996,34.75063372391272,30.38,8.39,-1.16,-8.58,90.0,22.67,17
91400,36.850718648939996,34.750651830310225,29.7,8.77,5.94,-7.19,90.0,22.73,14
91600,36.850718648939996,34.75066993670774,30.12,7.92,-4.34,-3.53,90.0,22.7,14
91800,36.850718648939996,34.75068804310524,29.99,8.42,0.51,-8.54,90.0,22.6,15
92000,36.850718648939996,34.75070614950275,30.11,8.13,-2.82,-7.16,90.0,22.62,12
92200,36.850718648939996,34.75072425590025,29.71,8.03,-1.23,-5.48,90.0,22.73,16
92400,36.850718648939996,34.75074236229776,29.44,8.17,0.35,-5.72,90.0,22.68,12
92600,36.850718648939996,34.75076046869527,29.27,8.08,-5.81,-7.98,90.0,22.63,15
92800,36.850718648939996,34.750778575092774,29.61,8.09,0.59,-12.77,90.0,22.64,13
93000,36.850718648939996,34.75079668149028,29.84,7.96,4.76,-6.97,90.0,22.65,16
93200,36.850718648939996,34.75081478788778,29.9,7.71,-1.13,-12.44,90.0,22.67,16
93400,36.850718648939996,34.750832894285296,30.68,7.68,0.65,-5.06,90.0,22.58,12
93600,36.850718648939996,34.7508510006828,30.39,8.23,2.56,-7.66,90.0,22.6,15
93800,36.850718648939996,34.750869107080305,29.66,8.0,-0.41,-6.0,90.0,22.63,14
94000,36.850718648939996,34.75088721347781,30.12,7.92,-1.45,-9.8,90.0,22.61,13
94200,36.850718648939996,34.750905319875315,29.86,8.07,-5.69,-11.11,90.0,22.64,15
94400,36.850718648939996,34.75092342627283,29.9,8.26,1.6,-7.48,90.0,22.56,17
94600,36.850718648939996,34.75094153267033,30.06,8.11,-0.28,-8.07,90.0,22.62,11
94800,36.850718648939996,34.75095963906784,30.22,7.9,-2.53,-8.98,90.0,22.64,17
95000,36.850718648939996,34.75097774546534,29.88,8.37,0.32,-7.83,90.0,22.61,16
95200,36.850718648939996,34.75099585186285,30.37,8.46,-1.46,-2.47,90.0,22.59,14
95400,36.850718648939996,34.75101395826036,29.6,8.19,-1.32,-6.33,90.0,22.58,15
95600,36.850718648939996,34.75103206465786,30.0,8.31,1.52,-5.9,90.0,22.54,13
95800,36.850718648939996,34.75105017105537,30.91,8.38,-3.35,-6.31,90.0,22.57,11
96000,36.850718648939996,34.75106827745287,30.08,8.35,2.62,-5.04,90.0,22.61,15
96200,36.850718648939996,34.75108638385038,30.5,8.22,-3.49,-8.38,90.0,22.55,16
96400,36.850718648939996,34.75110449024789,30.03,8.21,-1.66,-12.11,90.0,22.52,12
96600,36.850718648939996,34.751122596645395,30.2,8.19,4.81,-8.38,90.0,22.53,16
96800,36.850718648939996,34.7511407030429,29.98,7.79,2.82,-6.38,90.0,22.55,16
97000,36.850718648939996,34.751158809440405,29.94,8.24,0.24,-9.94,90.0,22.52,16
97200,36.850718648939996,34.75117691583791,29.73,7.73,-2.35,-8.35,90.0,22.55,13
97400,36.850718648939996,34.75119502223542,30.15,7.87,-1.32,-9.38,90.0,22.55,13
97600,36.850718648939996,34.751213128632926,29.7,8.39,0.18,-5.0,90.0,22.56,13
97800,36.850718648939996,34.75123123503043,30.23,8.27,0.09,-6.5,90.0,22.57,16
98000,36.850718648939996,34.751249341427936,30.38,8.44,-0.23,-6.7,90.0,22.55,17
98200,36.850718648939996,34.75126744782544,30.13,8.0,-0.08,-6.76,90.0,22.47,13
98400,36.850718648939996,34.75128555422295,29.9,7.78,-0.54,-8.07,90.0,22.46,17
98600,36.850718648939996,34.75130366062046,30.16,8.0,-3.6,-7.6,90.0,22.49,14
98800,36.850718648939996,34.75132176701796,29.89,8.09,-1.29,-10.37,90.0,22.47,13
99000,36.850718648939996,34.75133987341547,30.33,8.08,2.29,-12.37,90.0,22.44,11
99200,36.850718648939996,34.75135797981298,29.36,8.35,-3.42,-7.7,90.0,22.46,15
99400,36.850718648939996,34.751376086210485,29.88,7.97,-0.47,-7.35,90.0,22.45,15
99600,36.850718648939996,34.75139419260799,29.3,8.15,-2.05,-5.58,90.0,22.44,17
99800,36.850718648939996,34.751412299005494,29.48,7.82,0.28,-4.86,90.0,22.45,16
100000,36.850718648939996,34.751430405403,30.48,8.18,-0.97,-4.86,90.0,22.5,11
100200,36.850718648939996,34.75144851180051,30.31,8.07,3.69,-10.0,90.0,22.46,14
100400,36.850718648939996,34.751466618198016,29.75,7.88,1.27,-8.7,90.0,22.54,16
100600,36.850718648939996,34.75148472459552,29.47,8.01,-3.28,-7.04,90.0,22.44,14
100800,36.850718648939996,34.751502830993026,28.96,8.02,1.68,-2.94,90.0,22.42,14
101000,36.850718648939996,34.75152093739053,29.81,8.0,-1.94,-5.04,90.0,22.43,16
101200,36.850718648939996,34.75153904378804,30.85,8.51,-1.44,-5.76,90.0,22.43,15
101400,36.850718648939996,34.75155715018555,30.15,8.04,0.78,-8.78,90.0,22.43,15
101600,36.850718648939996,34.75157525658305,29.8,8.0,-1.23,-9.77,90.0,22.49,14
101800,36.850718648939996,34.75159336298056,30.16,7.54,2.23,-6.42,90.0,22.37,12
102000,36.850718648939996,34.75161146937806,29.45,7.84,-1.94,-10.2,90.0,22.43,14
102200,36.850718648939996,34.751629575775574,29.9,8.0,-1.55,-8.48,90.0,22.4,17
102400,36.850718648939996,34.75164768217308,30.03,7.89,-1.64,-8.23,90.0,22.32,15
102600,36.850718648939996,34.751665788570584,29.97,8.41,-1.41,-4.81,90.0,22.41,15
102800,36.850718648939996,34.75168389496809,30.28,5.76,2.75,-8.71,44.1,22.43,11
103000,36.85073362079291,34.75168389496809,30.12,8.66,1.57,-12.88,0.0,22.34,17
103200,36.85074859264583,34.75168389496809,30.23,8.35,4.27,-6.99,0.0,22.37,12
103400,36.85076356449874,34.75168389496809,29.76,8.34,5.67,-9.4,0.0,22.29,17
103600,36.85077853635166,34.75168389496809,30.31,8.31,-2.58,-7.91,0.0,22.3,14
103800,36.850793508204575,34.75168389496809,30.57,8.33,0.18,-8.17,0.0,22.39,17
104000,36.850808480057495,34.75168389496809,29.66,8.76,-2.94,-8.55,0.0,22.33,17
104200,36.85082345191041,34.75168389496809,29.69,7.75,-1.94,-6.42,0.0,22.29,16
104400,36.85083842376333,34.75168389496809,30.47,7.83,-1.58,-11.07,0.0,22.34,17
104600,36.85085339561624,34.75168389496809,29.93,8.2,-2.64,-9.03,0.0,22.31,15
104800,36.85086836746916,34.75168389496809,30.49,8.34,-2.63,-6.63,0.0,22.3,16
105000,36.850883339322074,34.75168389496809,29.85,8.51,-0.36,-9.23,0.0,22.35,12
105200,36.850898311174994,34.75168389496809,30.51,5.92,-3.04,-11.22,315.9,22.26,11
105400,36.850898311174994,34.751665788570584,30.05,7.97,2.11,-6.66,270.0,22.27,14
105600,36.850898311174994,34.75164768217308,30.09,8.32,-2.29,-5.75,270.0,22.31,16
105800,36.850898311174994,34.751629575775574,30.55,8.32,7.02,-8.09,270.0,22.33,16
106000,36.850898311174994,34.75161146937806,29.87,8.11,-1.13,-11.92,270.0,22.34,14
106200,36.850898311174994,34.75159336298056,29.67,8.31,0.18,-6.59,270.0,22.26,14
106400,36.850898311174994,34.75157525658305,29.84,8.13,-3.24,-11.32,270.0,22.32,15
106600,36.850898311174994,34.75155715018555,30.16,7.92,4.27,-7.38,270.0,22.24,17
106800,36.850898311174994,34.75153904378804,29.45,8.24,2.8,-9.77,270.0,22.34,16
107000,36.850898311174994,34.75152093739053,30.22,8.09,0.74,-10.32,270.0,22.22,11
107200,36.850898311174994,34.751502830993026,29.81,8.06,-3.37,-8.88,270.0,22.31,15
107400,36.850898311174994,34.75148472459552,30.4,8.43,0.53,-8.37,270.0,22.22,13
107600,36.850898311174994,34.751466618198016,29.16,7.45,-2.8,-9.29,270.0,22.33,16
107800,36.850898311174994,34.75144851180051,29.72,7.71,3.66,-6.82,270.0,22.26,14
108000,36.850898311174994,34.751430405403,29.41,7.77,2.02,-8.89,270.0,22.19,17
108200,36.850898311174994,34.751412299005494,29.71,7.97,0.24,-6.04,270.0,22.21,14
108400,36.850898311174994,34.75139419260799,30.09,8.0,-6.09,-7.44,270.0,22.25,15
108600,36.850898311174994,34.751376086210485,29.94,7.69,-2.46,-9.4,270.0,22.26,11
108800,36.850898311174994,34.75135797981298,29.91,7.82,1.72,-9.73,270.0,22.21,17
109000,36.850898311174994,34.75133987341547,29.94,7.85,3.03,-11.29,270.0,22.21,12
109200,36.850898311174994,34.75132176701796,30.07,8.68,2.77,-7.42,270.0,22.23,13
109400,36.850898311174994,34.75130366062046,29.65,8.51,-3.98,-8.71,270.0,22.2,16
109600,36.850898311174994,34.75128555422295,30.25,7.96,0.75,-12.74,270.0,22.14,17
109800,36.850898311174994,34.75126744782544,30.23,7.97,2.54,-9.07,270.0,22.15,14
110000,36.850898311174994,34.751249341427936,30.13,7.78,-4.15,-9.8,270.0,22.19,14
110200,36.850898311174994,34.75123123503043,30.19,7.59,-0.02,-4.85,270.0,22.22,11
110400,36.850898311174994,34.751213128632926,30.1,8.04,0.68,-11.41,270.0,22.23,17
110600,36.850898311174994,34.75119502223542,30.71,7.82,-0.75,-10.88,270.0,22.19,11
110800,36.850898311174994,34.75117691583791,29.97,8.04,-4.63,-5.78,270.0,22.17,11
111000,36.850898311174994,34.751158809440405,29.89,7.66,-0.81,-5.29,270.0,22.18,14
111200,36.850898311174994,34.7511407030429,29.74,7.87,-0.82,-9.49,270.0,22.12,11
111400,36.850898311174994,34.751122596645395,29.64,8.1,-0.37,-9.26,270.0,22.13,12
111600,36.850898311174994,34.75110449024789,29.56,8.16,-1.41,-6.77,270.0,22.1,15
111800,36.850898311174994,34.75108638385038,29.69,8.17,-1.11,-12.65,270.0,22.08,15
112000,36.850898311174994,34.75106827745287,29.98,7.73,-0.1,-11.72,270.0,22.14,13
112200,36.850898311174994,34.75105017105537,30.12,8.28,1.11,-8.56,270.0,22.13,16
112400,36.850898311174994,34.75103206465786,30.02,7.86,-0.76,-4.9,270.0,22.14,15
112600,36.850898311174994,34.75101395826036,29.73,8.22,-1.02,-8.87,270.0,22.13,12
112800,36.850898311174994,34.75099585186285,30.32,8.06,0.23,-7.8,270.0,22.11,15
113000,36.850898311174994,34.75097774546534,30.26,7.72,-4.8,-5.73,270.0,22.12,15
113200,36.850898311174994,34.75095963906784,29.94,7.99,1.19,-3.79,270.0,22.09,16
113400,36.850898311174994,34.75094153267033,29.77,8.16,-0.0,-9.15,270.0,22.1,12
113600,36.850898311174994,34.75092342627283,30.19,8.22,0.1,-8.03,270.0,22.05,12
113800,36.850898311174994,34.750905319875315,30.07,8.03,2.4,-4.36,270.0,22.09,13
114000,36.850898311174994,34.75088721347781,29.49,8.45,-4.88,-11.04,270.0,22.1,13
114200,36.850898311174994,34.750869107080305,29.98,8.32,-4.93,-5.94,270.0,22.04,17
114400,36.850898311174994,34.7508510006828,30.09,8.0,0.68,-10.04,270.0,22.06,16
114600,36.850898311174994,34.750832894285296,29.69,8.25,-0.02,-7.8,270.0,22.03,14
114800,36.850898311174994,34.75081478788778,30.07,8.55,0.43,-8.49,270.0,22.03,14
115000,36.850898311174994,34.75079668149028,29.49,8.55,-1.16,-9.92,270.0,22.0,17
115200,36.850898311174994,34.750778575092774,30.47,7.76,1.66,-9.97,270.0,22.09,14
115400,36.850898311174994,34.75076046869527,30.44,7.83,2.33,-7.45,270.0,22.07,12
115600,36.850898311174994,34.75074236229776,29.91,8.44,1.21,-6.01,270.0,22.05,11
115800,36.850898311174994,34.75072425590025,30.13,7.8,-0.65,-8.26,270.0,22.1,13
116000,36.850898311174994,34.75070614950275,29.16,7.73,-5.27,-0.43,270.0,22.01,15
116200,36.850898311174994,34.75068804310524,28.83,7.94,1.92,3.56,270.0,22.13,14
116400,36.850898311174994,34.75066993670774,28.36,8.17,3.05,-0.43,270.0,21.99,13
116600,36.850898311174994,34.750651830310225,27.32,8.04,1.61,-3.6,270.0,22.01,14
116800,36.850898311174994,34.75063372391272,27.17,7.9,-2.2,3.79,270.0,21.98,17
117000,36.850898311174994,34.750615617515216,26.85,7.9,1.68,1.36,270.0,22.0,17
117200,36.850898311174994,34.75059751111771,24.97,7.89,2.15,-0.14,270.0,22.01,12
117400,36.850898311174994,34.750579404720206,24.32,7.84,3.9,-0.74,270.0,21.97,11
117600,36.850898311174994,34.750561298322694,23.93,8.63,-2.19,2.16,270.0,22.04,12
117800,36.850898311174994,34.75054319192519,23.64,8.14,-0.57,-1.08,270.0,21.97,16
118000,36.850898311174994,34.750525085527684,21.88,8.29,1.87,2.3,270.0,21.97,14
118200,36.850898311174994,34.75050697913018,21.63,7.94,0.14,1.08,270.0,21.92,17
118400,36.850898311174994,34.750488872732674,21.41,8.02,-2.79,0.49,270.0,21.97,15
118600,36.850898311174994,34.75047076633516,19.42,7.89,1.04,0.29,270.0,21.94,14
118800,36.850898311174994,34.75045265993766,18.78,7.4,1.45,-0.35,270.0,21.91,12
119000,36.850898311174994,34.75043455354015,18.31,7.72,0.22,2.09,270.0,21.9,13
119200,36.850898311174994,34.75041644714265,17.51,7.61,0.55,-1.73,270.0,22.03,12
119400,36.850898311174994,34.75039834074514,17.21,7.5,-0.65,-3.24,270.0,21.91,14
119600,36.850898311174994,34.75038023434763,16.24,7.77,3.7,1.23,270.0,21.86,12
119800,36.850898311174994,34.750362127950126,14.76,8.4,-2.25,1.26,270.0,21.88,13
120000,36.850898311174994,34.75034402155262,14.8,8.05,-1.47,0.96,270.0,21.9,11
120200,36.850898311174994,34.750325915155116,13.64,8.39,0.03,0.82,270.0,21.92,16
120400,36.850898311174994,34.75030780875761,13.52,8.17,2.2,-0.64,270.0,21.92,17
120600,36.850898311174994,34.7502897023601,12.09,8.26,-3.74,1.57,270.0,21.91,14
120800,36.850898311174994,34.750271595962595,11.32,7.84,-3.28,-0.09,270.0,21.86,14
121000,36.850898311174994,34.75025348956509,10.96,8.2,-5.09,-0.97,270.0,21.89,17
121200,36.850898311174994,34.750235383167585,10.27,8.25,0.08,-0.62,270.0,21.84,14
121400,36.850898311174994,34.75021727677007,9.39,7.92,-2.8,4.04,270.0,21.84,15
121600,36.850898311174994,34.75019917037257,7.87,8.2,-0.96,-3.47,270.0,21.82,13
121800,36.850898311174994,34.75018106397506,7.88,8.21,1.65,1.0,270.0,21.81,14
122000,36.850898311174994,34.75016295757756,6.56,7.93,-1.6,-3.36,270.0,21.89,14
122200,36.850898311174994,34.75014485118005,6.24,7.78,0.58,-0.22,270.0,21.87,15
122400,36.850898311174994,34.75012674478254,4.89,7.77,-0.75,-0.87,270.0,21.88,15
122600,36.850898311174994,34.750108638385036,4.77,8.09,1.68,-4.17,270.0,21.83,14
122800,36.850898311174994,34.75009053198753,3.56,8.15,1.19,0.78,270.0,21.86,11
